booking_id,customer_id,movie_name,theater_no,seat_number,seat_type,price,status
BK130,C130,Spider-Man,2,B4,Normal,126.0,Paid
BK131,C131,Spider-Man,2,D1,Honeymoon,182.0,Paid
BK132,C132,Spider-Man,2,F4,VIP,370.0,Paid
BK133,C133,Avatar 3,1,E9,Normal,0.0,Rejected (ที่นั่ง E9 ถูกจองแล้ว (Double Booking))
BK134,C134,Avatar 3,1,E7,Normal,112.0,Paid
BK135,C135,Inception,4,E2,Honeymoon,200.0,Paid
BK136,C136,Inception,4,F6,Normal,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK137,C137,Avatar 3,1,C5,Normal,0.0,Rejected (ที่นั่ง C5 ถูกจองแล้ว (Double Booking))
BK138,C138,Interstellar,5,F10,Deluxe,184.0,Paid
BK139,C139,Inception,4,E6,Normal,0.0,Rejected (ที่นั่ง E6 ถูกจองแล้ว (Double Booking))
BK140,C140,Inception,4,E5,Normal,0.0,Rejected (ที่นั่ง E5 ถูกจองแล้ว (Double Booking))
BK141,C141,Spider-Man,2,B3,Normal,0.0,Rejected (ที่นั่ง B3 ถูกจองแล้ว (Double Booking))
BK142,C142,Batman,3,E7,Deluxe,168.0,Paid
BK143,C143,Batman,3,D10,VIP,0.0,Rejected (ที่นั่ง D10 ถูกจองแล้ว (Double Booking))
BK144,C144,Batman,3,C10,Deluxe,168.0,Paid
BK145,C145,Interstellar,5,E7,Normal,152.0,Paid
BK146,C146,Interstellar,5,D7,Honeymoon,270.0,Paid
BK147,C147,Batman,3,B1,Honeymoon,196.0,Paid
BK148,C148,Spider-Man,2,C8,Honeymoon,0.0,Rejected (ที่นั่ง C8 ถูกจองแล้ว (Double Booking))
BK149,C149,Interstellar,5,E2,VIP,304.0,Paid
BK150,C150,Inception,4,F7,Honeymoon,250.0,Paid
BK151,C151,Spider-Man,2,D3,Honeymoon,0.0,Rejected (ที่นั่ง D3 ถูกจองแล้ว (Double Booking))
BK152,C152,Interstellar,5,D3,VIP,0.0,Cancelled
BK153,C153,Inception,4,D7,Honeymoon,250.0,Paid
BK154,C154,Avatar 3,1,C7,Honeymoon,192.0,Paid
BK155,C155,Batman,3,C9,Deluxe,0.0,Rejected (ที่นั่ง C9 ถูกจองแล้ว (Double Booking))
BK156,C156,Batman,3,F1,Normal,140.0,Paid
BK157,C157,Avatar 3,1,E1,Deluxe,0.0,Cancelled
BK158,C158,Avatar 3,1,F10,Normal,0.0,Rejected (ที่นั่ง F10 ถูกจองแล้ว (Double Booking))
BK159,C159,Batman,3,F6,Normal,200.0,Paid
BK160,C160,Avatar 3,1,E6,Honeymoon,168.0,Paid
BK161,C161,Inception,4,D6,VIP,288.0,Paid
BK162,C162,Inception,4,F2,Deluxe,0.0,Rejected (ที่นั่ง F2 ถูกจองแล้ว (Double Booking))
BK163,C163,Avatar 3,1,C5,VIP,0.0,Rejected (ที่นั่ง C5 ถูกจองแล้ว (Double Booking))
BK164,C164,Inception,4,D10,Normal,0.0,Cancelled
BK165,C165,Avatar 3,1,D10,Deluxe,140.0,Paid
BK166,C166,Avatar 3,1,B6,Honeymoon,0.0,Rejected (ที่นั่ง B6 ถูกจองแล้ว (Double Booking))
BK167,C167,Inception,4,F6,Deluxe,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK168,C168,Interstellar,5,C2,Normal,0.0,Rejected (ที่นั่ง C2 ถูกจองแล้ว (Double Booking))
BK169,C169,Inception,4,C4,Normal,136.0,Paid
BK170,C170,Batman,3,D6,Deluxe,0.0,Rejected (ที่นั่ง D6 ถูกจองแล้ว (Double Booking))
BK171,C171,Interstellar,5,A6,Honeymoon,189.0,Paid
BK172,C172,Spider-Man,2,B2,Deluxe,220.0,Paid
BK173,C173,Interstellar,5,D6,Deluxe,0.0,Rejected (ที่นั่ง D6 ถูกจองแล้ว (Double Booking))
BK174,C174,Inception,4,B5,VIP,360.0,Paid
BK175,C175,Inception,4,B5,Honeymoon,0.0,Rejected (ที่นั่ง B5 ถูกจองแล้ว (Double Booking))
BK176,C176,Interstellar,5,E5,Honeymoon,0.0,Cancelled
BK177,C177,Interstellar,5,D2,Normal,133.0,Paid
BK178,C178,Batman,3,A3,Honeymoon,0.0,Rejected (ที่นั่ง A3 ถูกจองแล้ว (Double Booking))
BK179,C179,Batman,3,D2,Normal,140.0,Paid
BK180,C180,Spider-Man,2,F8,Honeymoon,0.0,Rejected (ที่นั่ง F8 ถูกจองแล้ว (Double Booking))
BK181,C181,Avatar 3,1,A4,Honeymoon,240.0,Paid
BK182,C182,Batman,3,C10,Deluxe,0.0,Rejected (ที่นั่ง C10 ถูกจองแล้ว (Double Booking))
BK183,C183,Inception,4,F9,Normal,119.0,Paid
BK184,C184,Inception,4,D6,Deluxe,0.0,Rejected (ที่นั่ง D6 ถูกจองแล้ว (Double Booking))
BK185,C185,Batman,3,D7,Normal,160.0,Paid
BK186,C186,Avatar 3,1,E9,Deluxe,0.0,Rejected (ที่นั่ง E9 ถูกจองแล้ว (Double Booking))
BK187,C187,Spider-Man,2,E2,VIP,296.0,Paid
BK188,C188,Inception,4,B3,VIP,0.0,Rejected (ที่นั่ง B3 ถูกจองแล้ว (Double Booking))
BK189,C189,Interstellar,5,F6,VIP,380.0,Paid
BK190,C190,Interstellar,5,A5,Honeymoon,216.0,Paid
BK191,C191,Batman,3,B10,Deluxe,192.0,Paid
BK192,C192,Spider-Man,2,Z99,Normal,0.0,Rejected (ที่นั่ง Z99 ไม่มีอยู่ในระบบ (Invalid Seat))
BK193,C193,Batman,3,D2,Normal,0.0,Rejected (ที่นั่ง D2 ถูกจองแล้ว (Double Booking))
BK194,C194,Spider-Man,2,F6,Deluxe,220.0,Paid
BK195,C195,Inception,4,F1,Deluxe,168.0,Paid
BK196,C196,Spider-Man,2,E7,Honeymoon,260.0,Paid
BK197,C197,Interstellar,5,F3,Honeymoon,0.0,Rejected (ที่นั่ง F3 ถูกจองแล้ว (Double Booking))
BK198,C198,Interstellar,5,B3,Normal,152.0,Paid
BK199,C199,Batman,3,E10,Honeymoon,196.0,Paid
BK200,C200,Interstellar,5,E1,VIP,380.0,Paid
BK201,C201,Batman,3,B2,Normal,0.0,Rejected (ที่นั่ง B2 ถูกจองแล้ว (Double Booking))
BK202,C202,Batman,3,D2,Deluxe,0.0,Rejected (ที่นั่ง D2 ถูกจองแล้ว (Double Booking))
BK203,C203,Interstellar,5,E6,VIP,380.0,Paid
BK204,C204,Interstellar,5,C10,Honeymoon,216.0,Paid
BK205,C205,Inception,4,F7,Normal,0.0,Rejected (ที่นั่ง F7 ถูกจองแล้ว (Double Booking))
BK206,C206,Spider-Man,2,D7,Deluxe,0.0,Rejected (ที่นั่ง D7 ถูกจองแล้ว (Double Booking))
BK207,C207,Spider-Man,2,E8,VIP,370.0,Paid
BK208,C208,Batman,3,C9,Honeymoon,0.0,Rejected (ที่นั่ง C9 ถูกจองแล้ว (Double Booking))
BK209,C209,Spider-Man,2,B5,Honeymoon,208.0,Paid
BK210,C210,Spider-Man,2,F2,Normal,0.0,Cancelled
BK211,C211,Batman,3,E2,Normal,0.0,Rejected (ที่นั่ง E2 ถูกจองแล้ว (Double Booking))
BK212,C212,Avatar 3,1,F5,Honeymoon,192.0,Paid
BK213,C213,Spider-Man,2,A9,Normal,144.0,Paid
BK214,C214,Spider-Man,2,F6,Honeymoon,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK215,C215,Inception,4,C3,VIP,360.0,Paid
BK216,C216,Batman,3,E10,VIP,0.0,Rejected (ที่นั่ง E10 ถูกจองแล้ว (Double Booking))
BK217,C217,Batman,3,F8,Deluxe,0.0,Rejected (ที่นั่ง F8 ถูกจองแล้ว (Double Booking))
BK218,C218,Inception,4,E7,Deluxe,0.0,Rejected (ที่นั่ง E7 ถูกจองแล้ว (Double Booking))
BK219,C219,Batman,3,A10,Normal,200.0,Paid
BK220,C220,Spider-Man,2,C7,Deluxe,0.0,Rejected (ที่นั่ง C7 ถูกจองแล้ว (Double Booking))
BK221,C221,Interstellar,5,D5,Deluxe,184.0,Paid
BK222,C222,Avatar 3,1,A9,Normal,112.0,Paid
BK223,C223,Interstellar,5,F2,Honeymoon,216.0,Paid
BK224,C224,Avatar 3,1,D7,Deluxe,140.0,Paid
BK225,C225,Inception,4,C8,VIP,0.0,Rejected (ที่นั่ง C8 ถูกจองแล้ว (Double Booking))
BK226,C226,Avatar 3,1,B4,Normal,160.0,Paid
BK227,C227,Batman,3,C2,Honeymoon,0.0,Rejected (ที่นั่ง C2 ถูกจองแล้ว (Double Booking))
BK228,C228,Avatar 3,1,E9,VIP,0.0,Rejected (ที่นั่ง E9 ถูกจองแล้ว (Double Booking))
BK229,C229,Inception,4,E2,Normal,0.0,Rejected (ที่นั่ง E2 ถูกจองแล้ว (Double Booking))
BK230,C230,Batman,3,A1,Normal,0.0,Rejected (ที่นั่ง A1 ถูกจองแล้ว (Double Booking))
BK231,C231,Avatar 3,1,E3,Normal,0.0,Rejected (ที่นั่ง E3 ถูกจองแล้ว (Double Booking))
BK232,C232,Inception,4,A5,VIP,0.0,Rejected (ที่นั่ง A5 ถูกจองแล้ว (Double Booking))
BK233,C233,Spider-Man,2,A9,Deluxe,0.0,Rejected (ที่นั่ง A9 ถูกจองแล้ว (Double Booking))
BK234,C234,Avatar 3,1,E3,Normal,0.0,Rejected (ที่นั่ง E3 ถูกจองแล้ว (Double Booking))
BK235,C235,Batman,3,D10,VIP,0.0,Rejected (ที่นั่ง D10 ถูกจองแล้ว (Double Booking))
BK236,C236,Batman,3,D9,Deluxe,168.0,Paid
BK237,C237,Interstellar,5,F1,Honeymoon,189.0,Paid
BK238,C238,Interstellar,5,E4,Deluxe,184.0,Paid
BK239,C239,Interstellar,5,E10,Deluxe,0.0,Rejected (ที่นั่ง E10 ถูกจองแล้ว (Double Booking))
BK240,C240,Batman,3,B10,Honeymoon,0.0,Rejected (ที่นั่ง B10 ถูกจองแล้ว (Double Booking))
BK241,C241,Batman,3,A9,Deluxe,0.0,Cancelled
BK242,C242,Spider-Man,2,F4,VIP,0.0,Rejected (ที่นั่ง F4 ถูกจองแล้ว (Double Booking))
BK243,C243,Inception,4,C4,Normal,0.0,Rejected (ที่นั่ง C4 ถูกจองแล้ว (Double Booking))
BK244,C244,Avatar 3,1,F9,Deluxe,0.0,Rejected (ที่นั่ง F9 ถูกจองแล้ว (Double Booking))
BK245,C245,Spider-Man,2,E9,Normal,180.0,Paid
BK246,C246,Batman,3,C5,Normal,0.0,Rejected (ที่นั่ง C5 ถูกจองแล้ว (Double Booking))
BK247,C247,Avatar 3,1,C7,Deluxe,0.0,Rejected (ที่นั่ง C7 ถูกจองแล้ว (Double Booking))
BK248,C248,Inception,4,D5,Normal,136.0,Paid
BK249,C249,Batman,3,C9,Normal,0.0,Rejected (ที่นั่ง C9 ถูกจองแล้ว (Double Booking))
BK250,C250,Avatar 3,1,E5,VIP,245.0,Paid
BK251,C251,Spider-Man,2,A3,Deluxe,154.0,Paid
BK252,C252,Batman,3,C4,Honeymoon,224.0,Paid
BK253,C253,Inception,4,D3,Normal,0.0,Rejected (ที่นั่ง D3 ถูกจองแล้ว (Double Booking))
BK254,C254,Inception,4,A7,VIP,252.0,Paid
BK255,C255,Interstellar,5,D9,VIP,380.0,Paid
BK256,C256,Batman,3,A6,Deluxe,0.0,Rejected (ที่นั่ง A6 ถูกจองแล้ว (Double Booking))
BK257,C257,Batman,3,F3,VIP,0.0,Rejected (ที่นั่ง F3 ถูกจองแล้ว (Double Booking))
BK258,C258,Avatar 3,1,A4,Normal,0.0,Rejected (ที่นั่ง A4 ถูกจองแล้ว (Double Booking))
BK259,C259,Spider-Man,2,D1,VIP,0.0,Rejected (ที่นั่ง D1 ถูกจองแล้ว (Double Booking))
BK260,C260,Spider-Man,2,D3,Normal,0.0,Rejected (ที่นั่ง D3 ถูกจองแล้ว (Double Booking))
BK261,C261,Spider-Man,2,B2,Honeymoon,0.0,Rejected (ที่นั่ง B2 ถูกจองแล้ว (Double Booking))
BK262,C262,Avatar 3,1,B2,Deluxe,140.0,Paid
BK263,C263,Batman,3,B9,Honeymoon,196.0,Paid
BK264,C264,Spider-Man,2,D2,VIP,370.0,Paid
BK265,C265,Interstellar,5,F6,Honeymoon,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK266,C266,Inception,4,A6,Normal,136.0,Paid
BK267,C267,Spider-Man,2,E2,VIP,0.0,Rejected (ที่นั่ง E2 ถูกจองแล้ว (Double Booking))
BK268,C268,Interstellar,5,A5,Deluxe,0.0,Rejected (ที่นั่ง A5 ถูกจองแล้ว (Double Booking))
BK269,C269,Avatar 3,1,E2,Normal,128.0,Paid
BK270,C270,Interstellar,5,F2,VIP,0.0,Rejected (ที่นั่ง F2 ถูกจองแล้ว (Double Booking))
BK271,C271,Avatar 3,1,E8,VIP,0.0,Rejected (ที่นั่ง E8 ถูกจองแล้ว (Double Booking))
BK272,C272,Spider-Man,2,B10,VIP,370.0,Paid
BK273,C273,Batman,3,B4,Deluxe,240.0,Paid
BK274,C274,Avatar 3,1,F8,Deluxe,140.0,Paid
BK275,C275,Batman,3,A6,Deluxe,0.0,Rejected (ที่นั่ง A6 ถูกจองแล้ว (Double Booking))
BK276,C276,Inception,4,B9,Deluxe,168.0,Paid
BK277,C277,Interstellar,5,A7,Deluxe,184.0,Paid
BK278,C278,Spider-Man,2,D9,Deluxe,176.0,Paid
BK279,C279,Avatar 3,1,E6,Honeymoon,0.0,Rejected (ที่นั่ง E6 ถูกจองแล้ว (Double Booking))
BK280,C280,Avatar 3,1,F1,Deluxe,140.0,Paid
BK281,C281,Spider-Man,2,A4,VIP,259.0,Paid
BK282,C282,Spider-Man,2,C3,VIP,0.0,Rejected (ที่นั่ง C3 ถูกจองแล้ว (Double Booking))
BK283,C283,Interstellar,5,C10,Honeymoon,0.0,Rejected (ที่นั่ง C10 ถูกจองแล้ว (Double Booking))
BK284,C284,Avatar 3,1,E8,Deluxe,0.0,Rejected (ที่นั่ง E8 ถูกจองแล้ว (Double Booking))
BK285,C285,Interstellar,5,F5,Normal,133.0,Paid
BK286,C286,Interstellar,5,B3,Normal,0.0,Rejected (ที่นั่ง B3 ถูกจองแล้ว (Double Booking))
BK287,C287,Spider-Man,2,F4,Deluxe,0.0,Rejected (ที่นั่ง F4 ถูกจองแล้ว (Double Booking))
BK288,C288,Avatar 3,1,A7,VIP,0.0,Rejected (ที่นั่ง A7 ถูกจองแล้ว (Double Booking))
BK289,C289,Interstellar,5,F6,Honeymoon,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
BK290,C290,Interstellar,5,F5,Honeymoon,0.0,Rejected (ที่นั่ง F5 ถูกจองแล้ว (Double Booking))
BK291,C291,Spider-Man,2,A9,Honeymoon,0.0,Rejected (ที่นั่ง A9 ถูกจองแล้ว (Double Booking))
BK292,C292,Batman,3,A8,Normal,200.0,Paid
BK293,C293,Batman,3,C1,VIP,390.0,Paid
BK294,C294,Spider-Man,2,F4,Normal,0.0,Rejected (ที่นั่ง F4 ถูกจองแล้ว (Double Booking))
BK295,C295,Batman,3,C9,Honeymoon,0.0,Rejected (ที่นั่ง C9 ถูกจองแล้ว (Double Booking))
BK296,C296,Inception,4,D10,Deluxe,168.0,Paid
BK297,C297,Interstellar,5,F5,VIP,0.0,Rejected (ที่นั่ง F5 ถูกจองแล้ว (Double Booking))
BK298,C298,Inception,4,F8,Normal,136.0,Paid
BK299,C299,Batman,3,A8,VIP,0.0,Rejected (ที่นั่ง A8 ถูกจองแล้ว (Double Booking))
BK300,C300,Interstellar,5,F6,Honeymoon,0.0,Rejected (ที่นั่ง F6 ถูกจองแล้ว (Double Booking))
